,mdi,mdi_rank
lh_trace,0.04881712368241098,1
dist_skew,0.04509046532662059,2
roy_root,0.044574933597887424,3
w_lambda,0.043304380876558246,4
dist_std,0.040002381901502265,5
can_cor.mean,0.03548739411000605,6
p_trace,0.03471409008742553,7
median.sd,0.03257850265792033,8
min.mean,0.030940910547925766,9
gravity,0.029259515661180745,10
dist_mean,0.029179500120040284,11
range.mean,0.024570931633384557,12
max.mean,0.024468957225951177,13
min.sd,0.02250159302114542,14
kurtosis.mean,0.02112130020025767,15
attr_to_inst,0.02037183460196725,16
skewness.sd,0.02012758311110663,17
eigenvalues.sd,0.019901376112504473,18
inst_to_attr,0.019408671844526514,19
t_mean.sd,0.018019665851428317,20
dist_kurtosis,0.017886807956610254,21
range.sd,0.01714527825324503,22
var.mean,0.015876411182683802,23
mad.sd,0.01567692948841551,24
nr_attr,0.015335350962393359,25
sd.mean,0.01520505347488562,26
mad.mean,0.015084228750971533,27
median.mean,0.014950742788525215,28
kurtosis.sd,0.014934688737190765,29
mean.sd,0.014859661416924795,30
iq_range.sd,0.014805818839124527,31
nr_inst,0.01465238450703375,32
max.sd,0.014624965440915736,33
skewness.mean,0.014399169175848178,34
nr_cor_attr,0.013880059687334224,35
eigenvalues.mean,0.013865263726160698,36
mean.mean,0.013210145224674275,37
t_mean.mean,0.012898663316337275,38
cov.mean,0.01240440181127252,39
cor.mean,0.012131517312868054,40
iq_range.mean,0.012131283947266586,41
can_cor.sd,0.011026456682519606,42
nr_num,0.010840039188593864,43
var.sd,0.009567160589118898,44
freq_class.sd,0.008853394240689311,45
sd.sd,0.008406186862847139,46
freq_class.mean,0.007472378703895084,47
cor.sd,0.007415662181255108,48
cov.sd,0.006823756291808535,49
nr_class,0.00555692621078586,50
sd_ratio,0.00413418283345896,51
nr_disc,0.0038306042696263747,52
nr_outliers,0.0035246292164755957,53
nr_norm,0.002148684556493818,54
cat_to_num,0.0,57
nr_bin,0.0,57
nr_cat,0.0,57
sparsity.sd,0.0,57
sparsity.mean,0.0,57
